content,content_clean,summary
"정성호 ""'尹 속옷 차림 버티기' CCTV 영상 공개 어렵다""",정성호 尹 속옷 차림 버티기 CCTV 영상 공개 어렵다,정성호 의원은 윤 대통령의 속옷 차림 CCTV 영상 공개가 어렵다고 밝혔습니다.
"""우리 제품 아닌데""…트럼프 극찬에 주가 22% 넘게 뛴 모나미",우리 제품 아닌데트럼프 극찬에 주가 22 넘게 뛴 모나미,"트럼프의 극찬으로 모나미 주가가 22% 이상 급등했으나, 실제로는 해당 제품이 모나미 제품이 아니었다."
"“김건희, 카메라 꺼진 종묘서 王도 못 누린 호사”…고발당하나",김건희 카메라 꺼진 종묘서 王도 못 누린 호사고발당하나,"김건희 여사가 종묘에서 비공식적인 호사를 누렸다는 논란이 일었으며, 이에 대한 고발 가능성이 제기되었습니다."
"트럼프 ""주한미군기지 소유권 달라?""...한미 관계 또 다른 변수되나",트럼프 주한미군기지 소유권 달라한미 관계 또 다른 변수되나,트럼프가 주한미군기지 소유권을 요구하며 한미 관계에 새로운 변수가 될 가능성이 제기되고 있습니다.
"""'안미경중' 더 이상 불가능""...실용외교 강조",안미경중 더 이상 불가능실용외교 강조,"""안미경중"" 전략이 어려워지면서 실용외교의 중요성이 부각되고 있습니다."
"'李 홀대론'에 대통령실 ""극적 반전 있는 화제작…외신도 높은 평가""",李 홀대론에 대통령실 극적 반전 있는 화제작외신도 높은 평가,대통령실은 '李 홀대론'에 대해 극적 반전이 있는 화제작이라며 외신에서도 높은 평가를 받고 있다고 밝혔습니다.
"與, 국힘 장동혁 대표 선출에 ""'내란의힘'에 기대 거는 국민 없다""",與 국힘 장동혁 대표 선출에 내란의힘에 기대 거는 국민 없다,"국민의힘 장동혁 대표 선출에 대해 여당은 ""'내란의힘'에 기대하는 국민은 없다""며 비판했습니다."
"국민의힘 장동혁 대표 ""과거 털고 미래로""…앞으로의 계획은",국민의힘 장동혁 대표 과거 털고 미래로앞으로의 계획은,국민의힘 장동혁 대표는 과거를 청산하고 미래로 나아가겠다는 계획을 발표했습니다.
비서실장 '핫라인' 구축…'숙청·혁명' 오해 불식,비서실장 핫라인 구축숙청혁명 오해 불식,비서실장이 핫라인을 구축하여 숙청과 혁명에 대한 오해를 해소하려고 노력하고 있습니다.
"국민의힘 당 대표에 장동혁…""이재명 정권 끌어내릴 것""",국민의힘 당 대표에 장동혁이재명 정권 끌어내릴 것,장동혁이 국민의힘 당 대표로 선출되며 이재명 정권을 견제하고 끌어내리겠다는 의지를 표명했습니다.
"고려아연, 미국 방산기업 록히트마틴에 ‘게르마늄’ 독자 공급망 구축",고려아연 미국 방산기업 록히트마틴에 게르마늄 독자 공급망 구축,고려아연이 미국 방산기업 록히드마틴에 게르마늄을 독자적으로 공급하는 체계를 구축했습니다.
"소비쿠폰, 한 달 만에 소상공인 매출 6.4% 끌어올려",소비쿠폰 한 달 만에 소상공인 매출 64 끌어올려,소비쿠폰 시행 후 한 달 만에 소상공인 매출이 6.4% 증가했습니다.
"""대한항공, 한미 정상회담 계기로 보잉 항공기 100대 주문 예정...역대 최대""",대한항공 한미 정상회담 계기로 보잉 항공기 100대 주문 예정역대 최대,대한항공이 한미 정상회담을 계기로 보잉 항공기 100대를 주문하며 역대 최대 규모의 계약을 체결할 예정입니다.
